6,0,5,0.65,
7,0,5,0.45,
1,0,6,0.45,
5,1,5,0.45,
6,0,5,0.45,
4,0,5,0.45,
3,0,5,1,
3,0,5,1,
3,0,5,1,
3,0,5,1,
4,0,5,0.5,
3,0,5,0.5,
2,0,5,0.5,
7,0,4,0.5,
1,0,5,1,
6,0,4,2.4,

6,0,5,0.55,
7,0,5,0.45,
1,0,6,0.45,
5,1,5,0.45,
6,0,5,0.45,
4,0,5,0.45,
3,0,5,1,
3,0,5,1,
3,0,5,1,
3,0,5,1,
4,0,5,0.5,
3,0,5,0.5,
2,0,5,0.5,
7,0,4,0.5,
1,0,5,1.2,
6,0,4,3,

6,0,5,1,
6,0,5,1,
6,0,5,1,
5,0,5,3.3,

1,0,5,1,
6,0,4,0.5,
7,0,4,0.5,
1,0,5,0.5,
4,0,5,0.5,
3,0,5,3,

2,0,5,1,
3,0,5,0.5,
2,0,5,0.5,
1,0,5,0.5,
6,0,4,0.5,
5,0,4,2,
1,0,5,1,

2,0,5,1,
3,0,5,0.5,
2,0,5,0.5,
1,0,5,0.5,
2,0,5,0.5,
3,0,5,3.5,
