#G2	#G0	#G1	#G2	#G3	#G4	#G5	
333.45341	87.738845	175.49405	333.45341	666.92317	1333.8627	1999.0471	
0	0.23320617	0.092174418	0.42105028	0.20275267	0.050328095	0.00048836055	

#G2	#G0	#G1	#G2	#G3	#G4	#G5	
105.2899	26.13469	52.63676	105.2899	210.5961	421.2086	842.4336	
0	0.0001274214	0.1553878	0.7362787	0.07026321	0.02850453	0.009438305	

E4	F2	F3	E4	E5	E6	B6	
333.45341	87.738845	175.49405	333.45341	666.92317	1333.8627	1999.0471	
0	0.085833612	0.073114062	0.77988942	0.046217254	0.011876273	0.0030693823	

B4	B2	B3	B4	B5	B6	B6	
491.41277	122.84092	245.69821	491.41277	982.84189	1965.7001	1999.0471	
0	0.3146503	0.19043685	0.48103182	0.0065512665	0.0038049797	0.0035247829	

A4	#A2	#A3	A4	A5	A6	B6	
438.75965	114.0654	228.14717	438.75965	877.53565	1755.0877	1999.0471	
0	0.00069138236	0.21252117	0.71798945	0.067021399	0.0014362775	0.00034031984	

A4	#G2	#A3	A4	A5	A6	B6	
438.75965	105.28988	228.14717	438.75965	877.53565	1755.0877	1999.0471	
0	0.076845563	0.27383774	0.60964468	0.038861791	0.00054747666	0.00026274796	

B2	#C1	#C2	B2	B3	B4	B5	
122.8409	35.08572	70.1878	122.8409	245.6982	491.4128	982.8419	
0	0.1458875	0.07327577	0.4685831	0.212801	0.09075364	0.008698995	

G3	#G1	#G2	G3	G4	G5	G6	
193.04509	52.636765	105.28988	193.04509	386.10653	772.22941	1544.4752	
0	0.063073116	0.33628127	0.48560291	0.094660796	0.019570825	0.00081108198	

F3	E1	F2	F3	F4	F5	F6	
175.49405	40.351037	87.738845	175.49405	351.00445	702.02525	1404.0668	
0	0.00020526199	0.074202176	0.73260372	0.16188442	0.028601884	0.002502536	

E4	F2	F3	E4	E5	E6	B6	
333.45341	87.738845	175.49405	333.45341	666.92317	1333.8627	1999.0471	
0	0.066869083	0.4172118	0.44294262	0.064930684	0.0076614376	0.00038437271	

#F6	#F4	#F5	#F6	B6	B6	B6	
1474.271	368.55549	737.12733	1474.271	1999.0471	1999.0471	1999.0471	
0	0.033459281	0.16988684	0.79636823	9.5217358e-05	9.5217358e-05	9.5217358e-05	

E4	F2	F3	E4	E5	E6	B6	
333.45341	87.738845	170.40424	333.45341	666.92317	1333.8627	1999.0471	
0	0.21512836	0.00036777621	0.72613897	0.034030684	0.024234884	9.9329627e-05	

B2	#C1	C2	B2	B3	B4	B5	
122.8409	35.08572	64.92249	122.8409	245.6982	491.4128	982.8419	
0	0.01657271	0.0001475457	0.5793266	0.2944725	0.07727999	0.03220066	

B2	#C1	B1	B2	B3	B4	B5	
122.8409	35.08572	62.99188	122.8409	245.6982	491.4128	982.8419	
0	0.02219934	0.0001762392	0.4827281	0.3795691	0.1080286	0.007298599	

B2	#C1	#C2	B2	B3	B4	B5	
122.8409	35.08572	70.1878	122.8409	245.6982	491.4128	982.8419	
0	0.02747248	0.1242125	0.7278862	0.09990924	0.01396885	0.006550713	

B2	#C1	A1	B2	B3	B4	B5	
122.8409	35.08572	54.39187	122.8409	245.6982	491.4128	982.8419	
0	0.07905289	0.0001893456	0.8325883	0.03772581	0.04900173	0.001441953	

B2	#A0	#A1	B2	B3	B4	B5	
122.8409	29.82041	57.55106	122.8409	245.6982	491.4128	982.8419	
0	0.0001459518	0.0002268492	0.9725191	0.01396111	0.008906327	0.004240674	

B2	#A0	#C2	B2	B3	B4	B5	
122.8409	29.82041	70.1878	122.8409	245.6982	491.4128	982.8419	
0	0.0002776276	0.09842756	0.7066279	0.1310666	0.04057106	0.02302926	

F2	#C0	#F1	F2	F3	F4	F5	
87.73884	17.53468	45.79186	87.73884	175.494	351.0044	702.0252	
0	0.0165237	0.0002620855	0.7587845	0.1679197	0.03918031	0.01732965	

F2	#G0	#F1	F2	F3	F4	F5	
87.73884	26.3102	45.61635	87.73884	175.494	351.0044	702.0252	
0	0.0002176242	0.0003264595	0.7398021	0.2123007	0.02553913	0.02181398	

B2	B0	#C2	B2	B3	B4	B5	
122.8409	31.40001	70.1878	122.8409	245.6982	491.4128	982.8419	
0	0.0002961181	0.03446536	0.7289905	0.2263738	0.006148809	0.003725379	

B2	#A0	C2	B2	B3	B4	B5	
122.8409	29.82041	64.92249	122.8409	245.6982	491.4128	982.8419	
0	9.733808e-05	0.0002486268	0.6481569	0.2605034	0.08406823	0.006925556	

B3	B1	B2	B3	B4	B5	B6	
245.69821	61.412285	122.84092	245.69821	491.41277	982.84189	1965.7001	
0	8.4094732e-05	0.32841691	0.54865253	0.11978779	0.002467651	0.0005910198	

B2	A0	C2	B2	B3	B4	B5	
122.8409	28.06531	64.92249	122.8409	245.6982	491.4128	982.8419	
0	0.0001868718	0.0004665543	0.6385802	0.3243423	0.03461535	0.001808753	

B2	A0	B1	B2	B3	B4	B5	
122.8409	27.8898	61.5878	122.8409	245.6982	491.4128	982.8419	
0	0.000229881	0.0001503542	0.6749582	0.3198135	0.002909279	0.001938832	

#G2	G0	#G1	#G2	#G3	#G4	#G5	
105.2899	24.73061	52.63676	105.2899	210.5961	421.2086	842.4336	
0	0.0002692295	0.0277285	0.9053443	0.06058934	0.004766629	0.001302027	

#G2	A0	#G1	#G2	#G3	#G4	#G5	
105.2899	28.06531	52.63676	105.2899	210.5961	421.2086	842.4336	
0	0.0004073609	0.0160062	0.8968383	0.08129308	0.004844506	0.0006105489	

#G2	A0	#G1	#G2	#G3	#G4	#G5	
105.2899	28.06531	52.63676	105.2899	210.5961	421.2086	842.4336	
0	0.0003556314	0.00443368	0.7983905	0.1842315	0.01219302	0.000395676	

B2	#C1	#A1	B2	B3	B4	B5	
122.8409	35.08572	59.65718	122.8409	245.6982	491.4128	982.8419	
0	0.1414002	0.000108164	0.5362405	0.3030978	0.01758843	0.001564859	

B2	#C1	#C2	B2	B3	B4	B5	
122.8409	35.08572	70.1878	122.8409	245.6982	491.4128	982.8419	
0	0.1767687	0.03290544	0.4546959	0.3198985	0.01534889	0.0003825581	

#G2	E-5	#A-5	G-5	G-6	D-5	#C-6	
105.2899	0.6273465	0.91057	0.7458475	0.3833063	0.5754949	0.2750698	
